isbn,root_id
0679425608,11
1552041778,9
1558746218,23
1879384493,14
0060914068,23
0316748641,27
0671621009,24
0671621009,3
0743249992,25
0451410319,4
0345311396,9
0553280589,11
0963094424,9
156971620X,5
067153484X,4
0771088191,9
0927545373,21
0802114369,2
0152012966,4
0440226104,9
0871138646,9
0060923245,9
0849943450,9
0449211770,9
0821775863,1
0385314019,23
015600710X,9
0380978539,9
0747538069,4
1888451084,9
0962893862,9
1555834531,4
0889740828,9
1563411148,9
0451456548,9
0060006048,9
0374343381,20
0440219604,4
1558505377,4
1551668785,9
0060256672,4
1590521994,21
0684831058,9
0312254164,11
0452265347,6
0140266771,9
0460878263,20
0373257074,9
0785268480,2
0551030682,21
1570362084,2
044990928X,8
1578562333,9
096478260X,22
0880387300,9
0553585118,9
0373152655,21
0679731148,2
0805051732,9
0786887842,11
1888740051,25
034543076X,9
0451180208,1
0517573822,20
1892051001,4
0380717085,12
0380712172,12
0767904281,8
0130305065,22
0316314641,9
042513301X,9
0765301954,9
061830245X,9
0393312801,9
0737020121,12
0451205650,9
0373708319,14
0778800229,12
0765348446,9
0765348438,4
0385029551,2
0451183681,9
0446326488,9
0192802542,1
061819729X,14
1841492086,9
0394830148,4
0671614460,15
0553573977,9
0151002231,24
1561706213,18
0809237628,1
0809237601,12
0062513346,9
0965921506,8
8440616368,9
0486270718,9
0929634063,4
0671529714,4
0380812029,9
1551668424,9
0821772252,9
0060001453,9
0060002050,9
0060001445,9
0821771205,9
1556590415,20
0915035170,24
0380815931,22
0812579569,9
0156005778,9
0879977361,17
0671002384,9
0553240307,9
0345280229,9
0060981180,9
0373791429,9
1878067745,27
0553254723,14
0553254723,16
0451457374,9
0451452380,9
0671730177,25
0679766758,9
0679767398,9
0553562967,9
0449003183,9
0312955510,24
0451518845,9
0345395190,9
0553265571,9
0345441443,9
1580173144,23
0553255371,4
1584851651,4
0671028049,4
0553583867,9
9681905202,10
0425173615,9
0670873683,9
0345426029,9
0312263996,9
0446677426,9
1885266480,21
0743200349,9
0425193896,9
0671892479,23
0451456726,9
0440241286,9
0553213377,9
0399136487,9
068484477X,9
0425189104,9
031286258X,9
8429710329,16
0609807919,4
081296683X,9
188517182X,23
068985546X,4
0689855451,4
0684859777,23
0684859769,23
0060959428,9
0515124656,9
0553574302,24
0553265415,8
038548562X,8
0590224735,8
0671016792,2
0671016792,25
0192833871,6
1929317999,25
1929317999,27
1929317999,26
0785272984,21
0440967848,4
0842343288,10
0590451146,9
1892065169,9
0609808346,13
0312242735,2
0312154542,23
0743410246,9
0743445643,9
0743445627,9
0590482378,4
0590482238,4
0451408888,9
1563841134,24
1563841134,7
0761513779,24
0761513779,7
0671578103,9
0007134495,9
038081658X,9
0886771544,9
0886776880,4
0553583891,9
1551662906,9
0486270610,9
0821776126,16
0060555882,9
0440241162,9
0061092029,13
0553371010,9
0385497091,9
0596000987,22
1891053426,24
1891053426,3
0140099182,2
0743483014,9
1573227226,9
0553563696,9
0451132343,24
0451132343,3
0140266909,1
0836221192,13
0061097268,24
0345441761,24
0399146865,23
0439164842,4
0446356859,9
1888277173,9
0393318680,9
0812555031,9
0679750932,9
0060933577,9
055357874X,23
0889950954,9
0671765973,21
1932560491,9
0590298364,4
0451190491,9
0312274785,9
0445204303,9
096788330X,9
0929141652,9
0525244581,13
1555834310,13
0688140718,8
0451205561,9
0486256111,26
0393046338,9
006106498X,4
0684870819,23
0743403614,4
0786867612,2
0821771426,9
0425151883,9
0310220033,9
0201741644,14
1853263508,14
0345314875,9
1884820298,8
0590466178,4
0761116230,11
0451403967,9
0440210046,9
0743410262,11
0060507845,9
8483101319,24
8483101319,3
1551669285,9
0515104531,3
0441007090,9
B00009ANY9,9
0590523465,4
0743439791,9
0192833669,9
0812548221,9
0451455835,9
0345455916,9
0553281437,9
0385475462,21
0688140475,20
0609808400,20
1931402213,15
0821761196,9
0312867395,9
0915473569,23
0552133256,24
0684869748,9
0060937688,4
0451409647,9
0399526005,9
0679777466,9
0156006243,9
0684829223,11
0375758585,9
0374148570,23
096774590X,25
0451180054,9
0451180054,28
0749425628,24
0749425628,3
0515130540,4
0931580587,15
8483101610,9
038081093X,22
0373289170,11
0440225116,24
0440225116,3
0743471520,9
044166251X,9
0345384229,9
0802139566,9
0805042156,12
0671521004,9
0671656155,9
1565115430,11
0824518977,21
0553569031,9
0679463135,9
0864423705,27
068482440X,9
0452282063,9
0385722109,9
0517150646,11
0385471106,9
0425173356,4
1573221597,16
0553583980,9
0312872372,9
0486270734,20
0345432223,24
0345432223,14
0871567865,9
0425157784,9
0440224721,9
0349113858,9
0743477081,9
0380812037,9
048627084X,4
0451456491,9
0449238083,9
0425183653,9
037369167X,9
0446363162,11
0373153279,12
0385324138,9
0679436332,20
0764222295,9
0764225553,9
0471293334,9
097213011X,13
0312205961,9
0440220432,9
0440220432,28
0590482289,4
1930603401,12
8437601002,16
0553568701,9
0849942845,9
0553156098,4
0553156063,4
0060961023,23
0451410327,9
1569873291,18
0373262736,9
0671535455,9
0671529986,14
1560760516,9
0553232940,4
0451168429,9
0440210224,4
0843952202,9
0743456351,9
2253006629,14
074343059X,2
0800758889,21
0743252136,12
0880707682,9
0553158937,4
0553480510,4
158322601X,24
0689856083,4
0451409434,9
0060965118,6
0060965118,1
0517182467,9
0380780216,5
0679742115,9
0156007185,9
0451198948,9
0771014910,9
0099274167,24
0099274167,7
0061091561,25
0373764685,9
0373764677,5
0373764766,9
0373764650,9
