isbn,subgenre_id
0679425608,34
1552041778,33
1558746218,69
1879384493,78
0060914068,37
0316748641,92
0671621009,22
0671621009,12
0743249992,30
0451410319,43
0345311396,33
0553280589,46
0963094424,33
156971620X,36
067153484X,99
0771088191,33
0927545373,87
0802114369,11
0152012966,43
0440226104,33
0871138646,33
0060923245,33
0849943450,33
0449211770,33
0821775863,96
0385314019,37
015600710X,33
0380978539,33
0747538069,43
1888451084,33
0962893862,33
1555834531,43
0889740828,33
1563411148,33
0451456548,33
0060006048,33
0374343381,63
0440219604,43
1558505377,43
1551668785,33
0060256672,44
1590521994,87
0684831058,33
0312254164,34
0452265347,72
0140266771,33
0460878263,63
0373257074,33
0785268480,11
0551030682,87
1570362084,11
044990928X,67
1578562333,33
096478260X,70
0880387300,33
0553585118,33
0373152655,87
0679731148,11
0805051732,33
0786887842,34
1888740051,88
1888740051,65
034543076X,33
0451180208,96
0517573822,63
1892051001,44
0380717085,19
0380712172,19
0767904281,67
0130305065,24
0316314641,33
042513301X,33
0765301954,33
061830245X,33
0393312801,33
0737020121,19
0451205650,33
0373708319,45
0778800229,19
0765348446,33
0765348438,43
0385029551,11
0451183681,33
0446326488,33
0192802542,96
061819729X,45
1841492086,33
0394830148,43
0671614460,21
0553573977,33
0151002231,85
1561706213,57
0809237628,29
0809237601,19
0062513346,33
0965921506,67
8440616368,33
0486270718,33
0929634063,44
0671529714,43
0380812029,33
1551668424,33
0821772252,33
0060001453,33
0060002050,33
0060001445,33
0821771205,33
1556590415,63
0915035170,85
0380815931,18
0812579569,33
0156005778,33
0879977361,60
0671002384,33
0553240307,33
0345280229,33
0060981180,33
0373791429,33
1878067745,92
0553254723,78
0553254723,49
0451457374,33
0451452380,33
0671730177,30
0679766758,33
0679767398,33
0553562967,33
0449003183,33
0312955510,74
0451518845,33
0345395190,33
0553265571,33
0345441443,33
1580173144,37
0553255371,43
1584851651,44
0671028049,43
0553583867,33
9681905202,54
0425173615,33
0670873683,33
0345426029,33
0312263996,33
0446677426,33
1885266480,87
0743200349,33
0425193896,33
0671892479,37
0451456726,33
0440241286,33
0553213377,33
0399136487,33
068484477X,33
0425189104,33
031286258X,33
8429710329,49
0609807919,99
081296683X,33
188517182X,69
068985546X,43
0689855451,43
0684859777,69
0684859769,69
0060959428,33
0515124656,33
0553574302,85
0553265415,67
038548562X,67
0590224735,67
0671016792,13
0671016792,88
0192833871,72
1929317999,65
1929317999,93
1929317999,51
0785272984,15
0440967848,43
0842343288,86
0590451146,33
1892065169,33
0609808346,42
0312242735,11
0312154542,37
0743410246,33
0743445643,33
0743445627,33
0590482378,43
0590482238,43
0451408888,33
1563841134,23
1563841134,32
0761513779,23
0761513779,32
0671578103,33
0007134495,84
038081658X,33
0886771544,33
0886776880,99
0553583891,33
1551662906,33
0486270610,33
0821776126,49
0060555882,33
0440241162,33
0061092029,42
0553371010,50
0385497091,33
0596000987,18
1891053426,22
1891053426,12
0140099182,13
0743483014,33
1573227226,33
0553563696,33
0451132343,22
0451132343,12
0140266909,58
0836221192,42
0061097268,74
0345441761,85
0399146865,69
0439164842,43
0446356859,33
1888277173,33
0393318680,33
0812555031,33
0679750932,33
0060933577,33
055357874X,69
0889950954,84
0671765973,61
1932560491,33
0590298364,43
0451190491,33
0312274785,33
0445204303,33
096788330X,33
0929141652,33
0525244581,42
1555834310,42
0688140718,67
0451205561,33
0486256111,77
0393046338,33
006106498X,43
0684870819,69
0743403614,99
0786867612,11
0821771426,33
0425151883,33
0310220033,33
0201741644,78
1853263508,78
0345314875,33
1884820298,67
0590466178,43
0761116230,34
0451403967,33
0440210046,33
0743410262,27
0060507845,33
8483101319,22
8483101319,12
1551669285,33
0515104531,12
0441007090,33
B00009ANY9,33
0590523465,43
0743439791,33
0192833669,33
0812548221,33
0451455835,33
0345455916,33
0553281437,33
0385475462,87
0688140475,63
0609808400,63
1931402213,47
0821761196,33
0312867395,33
0915473569,37
0552133256,85
0684869748,33
0060937688,43
0451409647,33
0399526005,33
0679777466,33
0156006243,33
0684829223,34
0375758585,33
0374148570,37
096774590X,88
0451180054,59
0451180054,94
0749425628,22
0749425628,12
0515130540,99
0931580587,21
8483101610,33
038081093X,24
0373289170,27
0440225116,22
0440225116,12
0743471520,33
044166251X,33
0345384229,33
0802139566,33
0805042156,40
0671521004,33
0671656155,33
1565115430,34
0824518977,87
0553569031,33
0679463135,33
0864423705,92
068482440X,33
0452282063,33
0385722109,33
0517150646,34
0385471106,33
0425173356,43
1573221597,49
0553583980,33
0312872372,33
0486270734,63
0345432223,23
0345432223,45
0871567865,33
0425157784,33
0440224721,33
0349113858,33
0743477081,33
0380812037,33
048627084X,43
0451456491,33
0449238083,33
0425183653,33
037369167X,33
0446363162,95
0373153279,40
0385324138,33
0679436332,63
0764222295,33
0764225553,33
0471293334,33
097213011X,42
0312205961,33
0440220432,59
0440220432,94
0590482289,43
1930603401,19
8437601002,49
0553568701,33
0849942845,33
0553156098,43
0553156063,43
0060961023,69
0451410327,33
1569873291,57
0373262736,33
0671535455,33
0671529986,45
1560760516,33
0553232940,43
0451168429,33
0440210224,43
0843952202,33
0743456351,33
2253006629,78
074343059X,11
0800758889,87
0743252136,19
0880707682,33
0553158937,43
0553480510,43
158322601X,85
0689856083,44
0451409434,33
0060965118,90
0060965118,68
0517182467,33
0380780216,36
0679742115,33
0156007185,33
0451198948,33
0771014910,33
0099274167,23
0099274167,32
0061091561,30
0373764685,33
0373764677,36
0373764766,33
0373764650,33
0786884274,67
0385721838,33
0142003816,33
0805063021,33
1581820135,34
1573227161,33
0842382852,35
0842382852,69
0842382836,43
0842382844,43
0974757004,43
0451188543,33
0971995907,33
0679447164,96
0446603856,74
0385468873,33
0375413596,33
0385418213,90
0385418213,68
0395798655,33
0132267055,18
0505524430,33
0140141499,33
0679736042,92
0345379020,33
0786702141,49
8420482137,85
0762405449,49
0786868430,34
0671319930,33
0743471547,13
0340750626,33
0440171970,33
0140178260,33
0393045986,33
0300029691,63
0966691911,33
0312254199,49
0373834136,33
0312986696,58
074324141X,23
074324141X,89
0679823859,43
0373834349,45
2070361039,33
1551667878,33
0786014245,63
0843951907,84
0945320531,22
0945320531,12
0440220238,43
1583224890,74
0764551620,22
0764551620,12
0399525009,37
0376017201,40
1564145190,69
0937750123,69
156025307X,18
0802139604,34
1841953229,33
0671787187,34
1591824095,36
1591820073,36
0764226312,87
0805052453,33
0452264863,72
0091882087,42
0553578685,33
0552146986,11
0340818689,11
1560232234,33
1551108496,19
0929661192,54
0192839071,49
0060198508,92
1590790510,22
1590790510,12
0310254752,87
0938317288,33
0140089225,33
0312959842,33
0140263144,33
0689866259,36
0141307129,43
0062732749,23
0062732749,89
051512558X,33
0761539220,30
1410755568,33
0373706863,78
1932173102,97
1932173102,56
0070504253,22
0070504253,12
0743456246,33
1591299357,33
0671017241,33
0373225628,33
0060531231,33
037322558X,82
0451210646,87
0440224551,49
0373226144,33
0590251627,43
0590251619,43
0590251600,43
0684813459,33
3404148665,85
0967819946,78
1590591224,18
1878424483,69
069811406X,37
0394759753,37
0895778742,20
0425178552,34
0345351878,33
8432206725,33
0449908798,33
0380705648,67
0812968182,11
0876054440,6
0785278796,78
0373834292,33
0802141293,33
0971009902,69
0553569228,33
0060540591,11
0684849690,33
0714843377,69
1883991145,97
1883991145,56
0807612596,11
0684865491,27
0312112831,33
1551669323,33
1570753881,87
0679757015,85
0195090616,87
0743419162,33
0451205707,33
0684193965,33
1550221582,11
0812568850,33
0618145591,33
0688176461,33
0373765207,33
0425164152,33
1558850767,33
0684871483,69
0451451600,33
0340767065,59
042514321X,59
0679777423,33
0807004553,85
1558746226,69
0440234700,82
0515111139,33
0786867647,11
1576739767,87
0143017292,34
1552781542,43
0340577371,27
0066212448,35
1932100024,90
1932100024,68
1400047838,92
0913428361,43
0553565060,33
0879238526,33
0553573837,44
0316139947,43
0061092037,45
0505525178,85
0451404793,33
0345315499,33
1887128654,63
0671551353,43
0671551345,43
0671876155,33
0671876287,60
0531098745,45
0891347208,20
0821225685,40
0553159445,43
0671529544,43
0671529560,43
0590466186,43
006104444X,33
0399524827,6
1857026012,72
0771014813,33
0451404505,97
0801431611,34
0061064866,43
0140250824,85
0312253737,33
0451404459,27
0440209102,33
0446306177,33
0553484508,84
0060927518,49
033034692X,87
1583225579,85
0843941774,33
0688013929,33
1565121384,31
0394751019,33
0595271618,43
031230093X,34
0345322061,76
0671787004,58
0849916836,87
0786705833,41
1551669188,33
0440219515,43
0380794578,33
0060582308,43
1551669374,33
0505525038,69
0380791021,33
0931580501,35
0931580501,69
0439130220,43
0439130247,43
0679836101,43
0517208326,6
044024126X,85
067172939X,33
0829419888,87
0062548689,87
1553662415,69
1591823641,36
1591823633,36
1591820162,36
1591824141,36
1569314071,36
1591823455,33
8434814552,33
0297643347,34
0452270529,11
0394713788,76
0741409577,33
188845136X,99
8878188212,33
8484034526,49
0553580167,33
1551664445,33
0764912518,45
1576736261,33
0911654690,22
0911654690,12
0911104674,36
0373095287,33
0449207005,33
0385502176,11
0140282513,33
0671027212,34
0670899771,33
1400001625,67
0861710649,35
0886776783,33
0304353493,34
0671741187,95
0517585154,27
0743482212,33
0451210972,37
0805053077,33
1590580680,33
0061054658,33
157322135X,92
0898796407,78
0898796342,45
0441001963,34
0441033423,33
0441944604,33
2226120467,33
0486282252,72
0935989870,23
0935989870,32
0912500212,67
0440214475,78
0842346740,87
1858285283,58
0804102511,54
0804118213,11
0060094397,33
1564963179,96
076151340X,19
0140116168,11
0451409744,87
0595319033,33
0061087130,33
0740723367,35
0395746566,70
0395746566,60
0425180050,33
0966164202,76
0804112894,33
0446677507,42
0393319296,33
0740721909,87
0553578936,33
0553575244,33
0451162919,33
0399143122,74
0156949601,57
0670031372,33
0836218833,36
0836218787,36
1570981094,11
0679741151,63
0439286034,43
0439343518,43
8437600723,72
157794304X,19
0843953144,57
0764550780,37
0684870940,69
1882606256,37
0451210816,33
0307128539,44
1563892464,43
0385134681,99
0373226071,33
0373226063,18
0373226276,33
0375503269,33
0915368587,33
0373037449,36
0821766066,33
0849995299,87
0140444750,87
0553268945,33
0613117905,13
226612269X,84
0971116288,33
0671882198,33
0425174360,67
0373706987,33
0505524236,33
0380806304,87
050552435X,33
0828003882,33
0865714487,23
0865714487,32
0851706517,90
0851706517,68
0446672483,67
1864502118,92
0340802995,22
0340802995,12
0060997028,33
0060997001,33
0618219196,76
0415167914,45
0684866005,85
1840463503,76
1570960305,57
0886777208,33
0886777127,33
0886776619,33
0812532961,33
0886776589,33
0061059773,33
0515136379,33
0912500549,37
156402976X,43
0671027441,67
096265342X,42
1565926994,18
0756400147,33
0449007383,33
0071414975,37
0553290797,33
1556522347,37
0812585151,33
0590298356,95
0970760094,34
1565121562,33
0684823772,87
0060924179,33
1583225498,34
0553279718,33
0312006926,45
0935908315,69
0679872027,43
0609803387,33
1884910009,78
0781805899,45
0684195208,80
0312118341,33
0425167801,33
0064408086,43
0761129774,67
0735100004,31
0345435796,15
0399142606,33
0425178234,33
1551668394,33
0743205049,6
0385323638,33
0451169026,78
0385722435,33
0609807900,33
0446394580,54
0380690543,43
0060529733,33
0831771348,75
0440413869,43
0679456937,33
031020755X,87
0590460560,43
0849953421,87
0764222112,33
0394872177,43
0590480898,43
0141302283,43
1565121570,44
0590486691,2
0912111631,54
155994806X,33
847509452X,45
8479532777,22
8479532777,12
8401491029,33
8486344166,37
0553574418,43
037326237X,11
0452280699,87
0914913360,58
1573221511,33
0440507723,67
0140440488,35
1551669196,33
0451180143,33
0373704070,33
0373074123,33
0373099568,33
0373288212,33
0373151896,43
0373290055,33
0553289993,33
0441007147,33
0671032569,33
038076864X,33
1561841536,34
0345384210,33
0671037390,33
0671042920,33
0140445625,34
1573220922,30
1862042055,23
0821771418,33
0451170113,41
0886776554,33
0002243776,85
0316057401,19
0140277439,33
0920897533,33
0864922299,33
0771014538,33
0486270645,33
0425164101,44
0380778726,33
0836218817,85
0061080969,33
0670868434,43
0312112629,58
0439087171,43
1551668459,99
0394578074,42
0679006826,92
0451167872,33
0877796130,45
038078047X,67
0767903617,19
0684818701,19
0894861611,69
0451206363,11
0451199634,78
0452265169,33
0711919518,58
0425153061,6
0824813928,78
0060167688,33
0449908453,33
0812568672,33
0515121282,33
0671875817,15
0312169345,59
0679762051,11
0553578774,33
0740721984,42
0312970978,33
0451209850,33
0740723227,42
0836282868,42
0380784491,33
0872863654,49
0684844826,33
0812574745,33
0345430948,33
0553575279,33
0380978407,33
0739400614,67
0803289065,33
0805210288,11
0385413017,45
081296697X,33
0880707232,85
0374527075,34
0130866172,45
0471349976,19
0873492862,58
0688167241,19
0140109595,33
1567313736,38
1567313736,39
0440403790,43
0517220121,78
1877988243,45
1556522460,23
0316816884,11
0140122060,33
0395528151,23
0395528151,32
1569470553,72
156833186X,33
0140046860,49
0694016446,43
1578566363,33
1892065444,33
0671042696,43
0396077897,6
0451211189,33
0451206355,33
0843951710,33
0060199105,11
0451205758,33
0451211197,99
1887368698,37
0843953276,87
084395177X,33
0786014555,33
0843953292,33
0843952571,33
0373218966,33
155166416X,43
0373239963,33
0843951958,54
048627165X,63
0446519537,33
1587670127,33
006000133X,43
0553213520,33
0451451538,33
0060278226,85
0785258442,15
0913589721,20
0844283460,30
0517590662,45
0517590670,45
0842373624,90
0842373624,68
0553381075,67
0618159789,33
0445408510,33
055357857X,33
0590847740,43
0345394380,33
0523413920,33
0671730541,43
0448095246,43
0380801493,33
0425179184,33
055348513X,43
042515405X,33
042518885X,33
0060953675,33
0802115160,19
0374253536,87
0836228995,42
0809233479,23
0809233479,32
076241085X,35
076241085X,69
0553569368,33
0842335935,69
0446363278,33
157566108X,95
1575664992,33
0671473204,11
089622662X,87
0061056014,33
0060514698,54
039332298X,35
0486275639,49
0451200861,11
0806982276,30
0425184307,33
0782122213,18
0860917886,11
1578194547,54
0971156905,87
0156027453,33
1585670227,33
159184021X,22
159184021X,12
0446609188,85
0446609188,79
0446609188,28
0553578758,33
037322608X,33
0373441436,33
0373441452,58
9871106181,33
0449150046,33
0060937742,44
159129021X,33
0938756605,11
0972051007,63
0385721765,33
0743456181,45
0821770802,33
0743477294,67
1551664267,33
0380795116,33
0060539836,95
0439286239,43
2266127756,33
1843500728,33
0312242727,45
0393320030,45
0198117477,72
0679420851,27
0156001438,33
0395544181,63
1568655800,33
0679726098,49
081011514X,33
0618138927,19
0812911016,45
087833209X,23
087833209X,32
0452279631,76
0451211103,99
014044470X,33
055356921X,33
1877988235,37
1879682737,42
0590907239,44
157145697X,42
1571456988,42
0740726765,42
0394829131,43
2290303054,33
222613624X,45
0812590465,33
0807553948,43
0807553794,43
0590047116,13
0590047116,58
0451404432,33
0679873066,43
0595129838,76
0253306752,67
0965139808,45
0553375334,48
0553375334,26
0764551418,40
0875968864,31
0861711459,87
0722539320,87
0688144713,20
1573225754,87
0765307154,33
0072129409,18
0671028006,33
0380722526,43
088038672X,33
0553271091,33
0912608951,85
0399146741,33
0451204956,33
0373482345,33
082175565X,33
050552385X,33
0743482247,45
0821772279,33
050552516X,33
0380806290,33
0060560789,33
0553565044,22
0736907734,87
0553379623,67
1576739627,87
068985482X,43
